Feature,Joint Angle,Correlation,P-value
z_vel_ma5,L2A_abduct,0.39477739250411525,0.0
z_vel_lag_plus_5,L2A_abduct,0.3944012665644892,0.0
z_vel_lag_plus_3,L2A_abduct,0.39403419966517444,0.0
z_vel_lag_minus_5,L2A_abduct,0.39394377516686424,0.0
z_vel_lag_plus_2,L2A_abduct,0.3938973034491898,0.0
y_vel_ma5,R2A_abduct,-0.393823409187057,0.0
z_vel_lag_plus_1,L2A_abduct,0.39381758559457375,0.0
z_vel_lag_minus_3,L2A_abduct,0.3937463243884325,0.0
L-M-TaG_x,R2A_abduct,-0.3937246702625353,0.0
z_vel_lag_minus_1,L2A_abduct,0.3937219721019986,0.0
z_vel_lag_minus_2,L2A_abduct,0.3937011006253615,0.0
y_vel_lag_minus_10,L2A_abduct,-0.3936330396868959,0.0
x_vel_lag_minus_10,R1B_rot,-0.3932261100163296,0.0
y_vel_lag_minus_2,L1A_abduct,-0.3929189893115622,0.0
y_vel_lag_plus_20,R2A_abduct,-0.39259756032661697,0.0
y_vel_lag_plus_1,L1A_abduct,-0.3924159544921545,0.0
L-M-TaG_y,L1C_flex,-0.3923430156638532,0.0
R-H-Vel_r,L3C_flex,-0.392132004808881,0.0
R-M-Vel_z,R2A_rot,-0.3920040780529619,0.0
R-F-TaG_z,L2A_abduct,0.3919587466667326,0.0
R-M-TaG_z,R2A_abduct,-0.3911111786586964,0.0
L-F-TaG_y,R1A_abduct,0.3911083496251107,0.0
R-F-TaG_r,R1A_abduct,-0.3902200934138174,0.0
x_vel_lag_minus_5,R1B_rot,-0.38987796963846566,0.0
y_vel_lag_minus_2,R2A_abduct,-0.38948322010436803,0.0
y_vel_lag_minus_3,R2A_abduct,-0.3894158620785685,0.0
L-F-Vel_y,L1B_rot,0.3889131539889885,0.0
y_vel_lag_minus_1,R2A_abduct,-0.3888360645556259,0.0
x_vel_lag_plus_5,R1B_rot,-0.38864994379977635,0.0
y_vel_lag_minus_5,R2A_abduct,-0.38738239675829356,0.0
L-H-Vel_y,L1A_abduct,-0.38717607322984293,0.0
z_vel_lag_minus_10,L2D_flex,0.3870688158164585,0.0
z_vel_lag_plus_20,L1A_abduct,0.38696904338553595,0.0
y_vel_lag_minus_20,L1A_abduct,-0.3863894545757051,0.0
L-H-Vel_y,L1A_rot,-0.3861999459449281,0.0
y_vel_lag_plus_1,R2A_abduct,-0.38554138570428376,0.0
y_vel_lag_plus_10,R2A_abduct,-0.38540446601823836,0.0
L-F-Vel_r,L1A_flex,-0.3846456080282452,0.0
y_vel_ma20,R1A_abduct,-0.3845934887358575,0.0
L-H-TaG_z,R2B_rot,-0.384125784916138,0.0
L-H-Vel_y,R1C_flex,-0.38392720969863764,0.0
y_vel_lag_plus_2,R2A_abduct,-0.3832957089119819,0.0
y_vel_lag_minus_3,L1A_abduct,-0.3832544717858339,0.0
y_vel_lag_minus_20,R2A_abduct,-0.383197980681334,0.0
R-H-TaG_y,L1B_flex,-0.38314394937137664,0.0
L-H-TaG_x,L3C_rot,0.38312156783485996,0.0
L-M-TaG_x,L1A_abduct,-0.38283758418012614,0.0
y_vel_lag_plus_2,L1A_abduct,-0.38277499838181545,0.0
R-H-TaG_z,R3D_flex,-0.382745484332188,0.0
R-H-TaG_y,L2A_abduct,0.38266548488158636,0.0
L-M-TaG_y,L1A_rot,0.3818715738044103,0.0
L-H-Vel_y,L2B_rot,-0.3812858462860158,0.0
y_vel_lag_plus_3,R2A_abduct,-0.381090979565118,0.0
R-F-Vel_r,R1A_flex,-0.38076676738792437,0.0
L-M-TaG_y,L3B_flex,0.3798700760871062,0.0
y_vel_lag_minus_10,R2A_abduct,-0.37938547818593565,0.0
y_vel_lag_plus_5,R2A_abduct,-0.37810111827824566,0.0
R-M-Vel_r,L3A_rot,0.3775558236211824,0.0
R-M-Vel_x,L3A_rot,0.3757665153788585,0.0
y_vel_lag_minus_10,R1A_abduct,-0.3757455673981122,0.0
L-H-Vel_r,L3B_flex,0.37524956048262453,0.0
z_vel_lag_plus_20,L2D_flex,0.3751892755707908,0.0
y_vel_lag_minus_3,L2C_flex,-0.3747777639651167,0.0
R-F-Vel_y,R3C_flex,0.37450295860787075,0.0
R-M-Vel_r,L3C_flex,0.37371205025088683,0.0
y_vel_lag_minus_5,L2C_flex,-0.373284144497149,0.0
L-F-Vel_z,R1A_rot,0.37314766857880594,0.0
L-H-TaG_z,L2C_rot,0.37288952675077974,0.0
R-F-TaG_z,R3D_flex,0.3722690224511469,0.0
L-F-Vel_r,R3C_flex,-0.3713703652393109,0.0
R-M-TaG_y,L1B_flex,0.37099694898277247,0.0
L-H-Vel_r,R1A_rot,0.3708908473722899,0.0
R-H-TaG_x,R3A_flex,0.370688075061516,0.0
R-M-TaG_y,R1A_abduct,0.3705522307573036,0.0
R-F-Vel_r,R3B_flex,0.3701800011122941,0.0
y_vel_lag_plus_3,L1A_abduct,-0.37012095341354323,0.0
R-M-TaG_z,R2D_flex,-0.37005409976363685,0.0
L-F-TaG_y,R1D_flex,-0.36971968139023154,0.0
R-F-TaG_z,L3A_rot,-0.36963087066354805,0.0
L-M-TaG_z,R2C_flex,-0.3696159426198148,0.0
x_vel_lag_minus_20,R1B_rot,-0.36898735495461765,0.0
y_vel_lag_minus_2,L2C_flex,-0.36858244133810303,0.0
z_vel_lag_plus_20,R2A_abduct,0.3680764909385931,0.0
R-M-Vel_y,R3D_flex,-0.3671646575766632,0.0
x_vel_ma20,L2D_flex,0.366864965028298,0.0
x_vel_ma10,L2D_flex,0.3668408560382333,0.0
x_vel_ma5,L2D_flex,0.36677422812572463,0.0
z_vel_ma20,R2A_abduct,0.3665826567447354,0.0
R-M-Vel_x,R2B_rot,0.3665024764683662,0.0
R-F-TaG_z,R2A_abduct,0.366406877135613,0.0
L-H-TaG_z,R1A_flex,-0.3661022743159089,0.0
x_vel_lag_minus_1,L2D_flex,0.3657759238401529,0.0
x_vel_lag_plus_1,L2D_flex,0.36500452541998285,0.0
R-F-Vel_r,L1B_flex,0.36483359715603453,0.0
